12:00 AM,73 °F,61 °F,65 %,N,7 mph,0 mph,29.82 in,0.0 in,Mostly
12:30 AM,73 °F,61 °F,65 %,NNE,6 mph,0 mph,29.82 in,0.0 in,Mostly
1:00 AM,73 °F,61 °F,65 %,NNE,7 mph,0 mph,29.82 in,0.0 in,Mostly
1:30 AM,73 °F,61 °F,65 %,N,7 mph,0 mph,29.82 in,0.0 in,Partly
2:00 AM,73 °F,61 °F,65 %,N,7 mph,0 mph,29.82 in,0.0 in,Partly
2:30 AM,73 °F,61 °F,65 %,NNE,7 mph,0 mph,29.79 in,0.0 in,Partly
3:00 AM,72 °F,61 °F,69 %,NNE,6 mph,0 mph,29.79 in,0.0 in,Partly
3:30 AM,72 °F,61 °F,69 %,NNE,6 mph,0 mph,29.79 in,0.0 in,Partly
4:00 AM,72 °F,61 °F,69 %,N,5 mph,0 mph,29.79 in,0.0 in,Partly
4:30 AM,72 °F,61 °F,69 %,N,6 mph,0 mph,29.79 in,0.0 in,Partly
5:00 AM,72 °F,63 °F,73 %,N,5 mph,0 mph,29.79 in,0.0 in,Partly
5:30 AM,72 °F,63 °F,73 %,VAR,2 mph,0 mph,29.82 in,0.0 in,Mostly
6:00 AM,72 °F,63 °F,73 %,N,3 mph,0 mph,29.82 in,0.0 in,Mostly
6:30 AM,72 °F,63 °F,73 %,NW,5 mph,0 mph,29.82 in,0.0 in,Mostly
7:00 AM,72 °F,63 °F,73 %,NW,2 mph,0 mph,29.85 in,0.0 in,Mostly
7:30 AM,72 °F,63 °F,73 %,VAR,3 mph,0 mph,29.85 in,0.0 in,Mostly
8:00 AM,72 °F,63 °F,73 %,NW,7 mph,0 mph,29.85 in,0.0 in,Mostly
8:30 AM,73 °F,63 °F,69 %,NW,5 mph,0 mph,29.88 in,0.0 in,Mostly
9:00 AM,75 °F,63 °F,65 %,NNW,5 mph,0 mph,29.88 in,0.0 in,Mostly
9:30 AM,77 °F,63 °F,61 %,NNE,8 mph,0 mph,29.88 in,0.0 in,Mostly
10:00 AM,79 °F,63 °F,57 %,N,7 mph,0 mph,29.85 in,0.0 in,Mostly
10:30 AM,81 °F,64 °F,58 %,N,7 mph,0 mph,29.85 in,0.0 in,Partly
11:00 AM,82 °F,63 °F,51 %,NNE,6 mph,0 mph,29.82 in,0.0 in,Partly
11:30 AM,84 °F,63 °F,48 %,N,6 mph,0 mph,29.82 in,0.0 in,Partly
12:00 PM,84 °F,64 °F,51 %,N,6 mph,0 mph,29.79 in,0.0 in,Fair
12:30 PM,86 °F,63 °F,45 %,N,7 mph,0 mph,29.79 in,0.0 in,Fair
1:00 PM,84 °F,63 °F,48 %,VAR,7 mph,0 mph,29.79 in,0.0 in,Fair
1:30 PM,86 °F,63 °F,45 %,NNW,7 mph,0 mph,29.76 in,0.0 in,Fair
2:00 PM,86 °F,63 °F,45 %,N,8 mph,0 mph,29.76 in,0.0 in,Fair
2:30 PM,86 °F,63 °F,45 %,N,8 mph,0 mph,29.76 in,0.0 in,Partly
3:00 PM,88 °F,64 °F,46 %,NNW,9 mph,0 mph,29.73 in,0.0 in,Partly
3:30 PM,86 °F,64 °F,48 %,NNE,12 mph,0 mph,29.73 in,0.0 in,Partly
4:00 PM,86 °F,64 °F,48 %,N,12 mph,0 mph,29.73 in,0.0 in,Partly
4:30 PM,84 °F,64 °F,51 %,N,9 mph,0 mph,29.76 in,0.0 in,Partly
5:00 PM,82 °F,63 °F,51 %,NNE,8 mph,0 mph,29.76 in,0.0 in,Mostly
5:30 PM,82 °F,64 °F,54 %,NNE,7 mph,0 mph,29.76 in,0.0 in,Mostly
6:00 PM,82 °F,64 °F,54 %,NE,7 mph,0 mph,29.79 in,0.0 in,Mostly
6:30 PM,82 °F,64 °F,54 %,NE,6 mph,0 mph,29.79 in,0.0 in,Mostly
7:00 PM,82 °F,64 °F,54 %,NE,5 mph,0 mph,29.79 in,0.0 in,Mostly
7:30 PM,82 °F,64 °F,54 %,NNW,5 mph,0 mph,29.82 in,0.0 in,Mostly
8:00 PM,82 °F,66 °F,58 %,N,5 mph,0 mph,29.82 in,0.0 in,Mostly
8:30 PM,81 °F,66 °F,61 %,N,6 mph,0 mph,29.82 in,0.0 in,Mostly
9:00 PM,81 °F,64 °F,58 %,NNE,6 mph,0 mph,29.82 in,0.0 in,Mostly
9:30 PM,81 °F,64 °F,58 %,NNE,7 mph,0 mph,29.82 in,0.0 in,Mostly
10:00 PM,79 °F,64 °F,61 %,NNE,7 mph,0 mph,29.82 in,0.0 in,Mostly
10:30 PM,79 °F,63 °F,57 %,NNE,6 mph,0 mph,29.82 in,0.0 in,Partly
11:00 PM,77 °F,63 °F,61 %,NNE,7 mph,0 mph,29.82 in,0.0 in,Partly
11:30 PM,77 °F,63 °F,61 %,NNE,8 mph,0 mph,29.82 in,0.0 in,Partly
